"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845699173407662082,b3910fa8fe7dc057,2021-05-22,17,83.49,54,8.78,9,3.26,7.33
845315952767283200,d8b578f55106df08,2021-05-21,38,102.81,271,12.55,37,3.62,15.33
845624326931230720,c40f9b3732adacd7,2021-05-22,75,52.93,247,6.74,33,3.26,20.07
845631111935176705,7c15d379aff88b27,2021-05-22,9,393.84,30,29.83,2,3.50,4.44
845636429270622208,ace823a292fbfa2c,2021-05-22,5,179.86,19,9.47,4,3.50,1.08
845624338713030662,c22bc3a79f52f720,2021-05-22,16,62.69,35,8.83,3,3.50,2.06
845625129777238016,e33453243ac06113,2021-05-22,5,226.00,10,7.00,2,3.26,1.20
845628063748071425,b91f765d49e88139,2021-05-22,2,450.00,13,36.85,1,3.50,1.38
845623224076742657,ad4c7d334b33561b,2021-05-22,7,97.50,42,11.40,1,3.26,1.16
845635413220790272,46fbff75ee3e2655,2021-05-22,17,48.71,70,15.93,6,3.50,1.94
845262460606361600,0c0ce128b383a9f5,2021-05-21,3,192.22,12,28.17,1,2.36,0.91
845262021753835527,adc2426ada9ae8ce,2021-05-21,79,48.58,360,7.81,18,2.36,8.89
845259476950462464,06b8fcfeb573c155,2021-05-21,4,98.00,16,5.63,2,3.62,0.48
845805659173560320,1b0ea378492da73a,2021-05-22,11,123.90,37,15.70,1,3.33,14.12
845625625653022720,0faccc99c18006de,2021-05-22,24,59.27,114,6.18,11,2.45,2.13
845310821401243650,94a85a2fdf493257,2021-05-21,9,60.44,27,10.37,3,3.49,0.82
845308879117885440,b6abda10df56dad8,2021-05-21,10,44.85,25,11.20,3,3.30,0.73
845730295864762368,11f6dfc14de0a812,2021-05-22,29,66.07,101,7.22,15,1.20,2.64
845693305225883648,25aec61f8500ef50,2021-05-22,1,20.00,10,7.50,2,3.33,0.10
845697556154683392,85bd139221952e65,2021-05-22,16,63.69,42,10.33,13,3.33,1.85
845307119386898432,294c9d17c81ea0f1,2021-05-21,13,350.08,29,51.21,3,3.49,10.71
845548650947153920,2decf3772ae5b0b4,2021-05-22,10,108.46,26,5.77,5,2.02,1.23
845640642979311616,517a63a28a1d3c4a,2021-05-22,2,97.50,4,6.25,2,0.00,0.22
845627474309947392,d72f5eca9d25a34c,2021-05-22,20,109.08,36,6.25,5,2.45,2.59
845629432986341376,7e8f779d56b6ca09,2021-05-22,9,119.11,21,5.95,4,2.45,2.81
845327683159330818,f6edfe0d28cfe307,2021-05-21,13,68.92,37,9.32,4,3.49,1.24
845309322313211904,87257b1397d65907,2021-05-21,16,54.16,62,6.31,10,1.91,1.26
845309492566044672,8c11f9c6a0e6c9de,2021-05-21,6,157.08,26,6.92,3,3.06,1.12
845694548587057152,d155a458c7ea8cb3,2021-05-22,27,53.72,99,6.45,11,3.33,2.09
845698566823223296,5a556097a1c4f932,2021-05-22,9,93.61,24,10.42,4,3.33,1.40
845297391816810504,38dc55eef98b5de4,2021-05-21,5,195.72,21,11.33,1,4.08,1.22
845269754863423492,b61ecd64e55df10f,2021-05-21,6,185.05,16,17.31,4,2.94,1.39
845693239750299648,7453064d7afdbae0,2021-05-22,10,65.20,27,6.67,3,3.33,0.83
845364250188587008,51a36f1982c4d497,2021-05-21,5,56.60,16,6.56,3,3.67,0.39
845271512572899334,39d697c61bd27d48,2021-05-21,6,146.50,16,8.75,1,3.85,1.02
845699247193198592,f4ae84a8efd63025,2021-05-22,15,55.89,57,6.54,10,3.33,2.95
845310223362957312,81fe4ee298d8e663,2021-05-21,11,134.16,40,15.13,5,2.59,2.08
845325900179976192,b0724259ceccaa19,2021-05-21,6,98.50,23,22.15,6,1.91,1.10
845259155285094403,abb187087284b185,2021-05-21,21,226.49,46,12.83,9,1.84,5.74
845307902064996352,efc4af66784a74b5,2021-05-21,11,113.45,16,12.00,1,3.67,1.44
845308315069722627,68ed43dea0b9ce00,2021-05-21,27,89.09,51,7.27,1,3.67,6.96
845694251533864962,79b4afa28ac00e53,2021-05-22,4,91.60,17,16.18,4,3.80,0.64
845358530033881088,a0806ffa58f9ac8e,2021-05-21,12,229.81,30,22.10,4,2.47,3.42
845325925381050368,fef230c93014ec03,2021-05-21,3,332.36,6,18.17,1,3.67,1.11
845261168686927875,06820cdd3ec755bf,2021-05-21,9,275.27,32,38.44,5,5.69,4.23
845626747147657216,c909d7040194fd99,2021-05-22,6,97.50,19,17.89,3,2.45,0.93
845340740023488514,2a76f2d0c660c1d2,2021-05-21,6,112.25,8,5.63,1,3.85,1.66
845701869730410497,6dcbe45c42cfd984,2021-05-22,20,34.53,63,6.75,19,3.72,1.12
845694015142891520,90c310053042765b,2021-05-22,64,75.01,269,6.34,43,3.33,6.51
845634839861932032,4df4db0afa03f8d4,2021-05-22,7,50.29,21,4.57,1,6.30,0.45
845319800646938624,84c2ccfc794ced00,2021-05-21,35,54.76,141,6.08,11,3.67,2.77
845356397196742656,cb9c7889a2819aa8,2021-05-21,3,283.40,9,21.11,1,2.47,1.04
845315157049094144,58d560909ab71f99,2021-05-21,34,491.84,56,10.36,5,3.67,17.30
845307498136743936,be704ef309839997,2021-05-21,3,300.37,21,24.00,3,3.67,1.41
845311687438635008,53623698d062bdc8,2021-05-21,15,160.15,45,10.82,8,3.30,2.89
845701507881111552,93f6eb7c89ca36c8,2021-05-22,8,338.11,21,27.33,4,3.33,3.29
845639649617129472,08458cd95f963d77,2021-05-22,18,101.64,76,7.66,12,3.80,2.42
845308094237118465,0561091bb1c50dd7,2021-05-21,8,272.45,21,15.48,5,3.84,2.50
845696521363664904,063b7c4eea641de1,2021-05-22,1,60.00,15,16.63,3,3.33,0.31
845693843959066625,589d374365735fdd,2021-05-22,8,274.69,31,6.13,5,3.33,7.58
845356719678304256,60e34c92621993bd,2021-05-21,1,500.00,15,64.93,1,2.59,1.47
845307246043992064,1b47c505204111b3,2021-05-21,16,75.25,41,5.80,7,2.59,1.44
